Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
0,0,103.9460064,30.75066046,48,103.9564943,30.7450801,1179.207157
1,0,103.9460064,30.75066046,64,103.9412759,30.75449343,620.9053755
2,0,103.9460064,30.75066046,16,103.9525507,30.75675243,921.0410139
3,1,104.0625393,30.7390774,1288,104.0620712,30.73250066,730.2875808
4,1,104.0625393,30.7390774,311,104.0600238,30.74269338,467.5522935
5,2,104.0732399,30.76099259,18,104.0730086,30.74887448,1343.253385
6,2,104.0732399,30.76099259,49,104.0507089,30.76141245,2157.007237
7,2,104.0732399,30.76099259,34,104.1146272,30.76027681,3962.074577
8,2,104.0732399,30.76099259,66,104.0737873,30.78668402,2847.913944
9,3,104.1508278,30.73841386,742,104.129349,30.7231598,2662.134322
10,3,104.1508278,30.73841386,127,104.1462028,30.72511547,1538.935186
11,3,104.1508278,30.73841386,19,104.1588451,30.73807002,768.4620807
12,3,104.1508278,30.73841386,51,104.1374701,30.77433248,4181.143453
13,4,103.9812278,30.70951601,408,103.9804376,30.7055703,443.815225
14,4,103.9812278,30.70951601,655,103.9802912,30.71025208,121.2443022
15,5,104.0439712,30.6867731,195,104.0444437,30.68572405,124.7648613
16,5,104.0439712,30.6867731,620,104.0428231,30.68723173,121.1557126
17,6,104.1012878,30.71733224,901,104.1007402,30.71605867,150.5741881
18,6,104.1012878,30.71733224,726,104.1018715,30.7188824,180.6695447
19,7,104.1642292,30.69574474,211,104.158776,30.69530501,524.5509497
20,7,104.1642292,30.69574474,422,104.1645632,30.69122648,501.773329
21,7,104.1642292,30.69574474,366,104.1696646,30.69594523,521.0576293
22,7,104.1642292,30.69574474,341,104.1638951,30.70182076,674.1569701
23,8,103.9777074,30.66252283,916,103.9749723,30.66252693,262.0547376
24,8,103.9777074,30.66252283,888,103.9778687,30.6589357,397.8707718
25,8,103.9777074,30.66252283,487,103.9776502,30.66449919,219.1141492
26,9,104.0404044,30.6386652,1767,104.0392578,30.63682457,231.7111229
27,9,104.0404044,30.6386652,1472,104.0411563,30.63977679,142.7229606
28,9,104.0404044,30.6386652,1673,104.0377035,30.63995675,295.7785775
29,10,104.1181679,30.65058201,1653,104.1140751,30.65030184,393.3975505
30,10,104.1181679,30.65058201,792,104.1214109,30.65013097,314.7466556
31,10,104.1181679,30.65058201,1065,104.1178297,30.65328507,301.3254122
32,11,104.1472874,30.64296083,215,104.1463315,30.64059106,278.1529173
33,11,104.1472874,30.64296083,580,104.1496059,30.64216205,239.1655126
34,12,103.9826185,30.61386248,28,103.9776869,30.61166959,531.5645307
35,12,103.9826185,30.61386248,383,103.9816494,30.60279961,1229.628076
36,12,103.9826185,30.61386248,90,103.9851381,30.61499377,272.1300849
37,13,104.0612402,30.59666547,793,104.0613987,30.59376339,321.9945508
38,13,104.0612402,30.59666547,738,104.0578933,30.59668669,320.8957553
39,13,104.0612402,30.59666547,203,104.0612128,30.60054761,430.2623322
40,14,104.1323295,30.59740351,1216,104.1360359,30.59511501,436.5838356
41,14,104.1323295,30.59740351,763,104.1354405,30.60123549,518.9610531
42,14,104.1323295,30.59740351,609,104.1246492,30.60216894,906.1380717
43,15,104.149224,30.61054808,336,104.1463549,30.60674406,503.3719165
44,15,104.149224,30.61054808,310,104.1526212,30.6089618,370.0824554
45,15,104.149224,30.61054808,163,104.1381502,30.61375537,1119.4482
46,16,103.9525507,30.75675243,80,103.9613727,30.75254195,964.822029
47,16,103.9525507,30.75675243,178,103.9619529,30.76609451,1371.854501
48,17,104.0530243,30.75790039,220,104.0481228,30.7539247,643.6417399
49,17,104.0530243,30.75790039,65,104.0666187,30.74499537,1933.671041
50,17,104.0530243,30.75790039,49,104.0507089,30.76141245,447.9160573
51,18,104.0730086,30.74887448,65,104.0666187,30.74499537,747.6592605
52,18,104.0730086,30.74887448,459,104.0726375,30.72578859,2558.887309
53,19,104.1588451,30.73807002,127,104.1462028,30.72511547,1877.861688
54,19,104.1588451,30.73807002,432,104.1609358,30.72308424,1672.884115
55,19,104.1588451,30.73807002,35,104.1675722,30.75834783,2397.625728
56,20,103.9717958,30.70900484,466,103.9754957,30.69767357,1304.912095
57,20,103.9717958,30.70900484,82,103.979059,30.71243403,792.6168708
58,20,103.9717958,30.70900484,457,103.966997,30.71641552,941.1702069
59,21,104.040111,30.71551717,1163,104.0404398,30.71284378,297.9644774
60,21,104.040111,30.71551717,1654,104.045209,30.71599628,491.0600093
61,22,104.0773952,30.69705062,1370,104.0742895,30.69705339,297.4541047
62,22,104.0773952,30.69705062,1366,104.0787152,30.69703746,126.4330825
63,22,104.0773952,30.69705062,1230,104.0773157,30.70282784,640.3378561
64,23,104.1847307,30.69654394,289,104.184379,30.69224823,477.2751353
65,23,104.1847307,30.69654394,389,104.1769595,30.69629187,744.8007551
66,23,104.1847307,30.69654394,155,104.1857165,30.70246353,662.8173793
67,24,103.963491,30.66467205,743,103.9625424,30.65991764,534.7262649
68,24,103.963491,30.66467205,1021,103.9748388,30.66471229,1087.243613
69,25,104.0120406,30.64390586,712,104.0085096,30.64330149,344.9470654
70,25,104.0120406,30.64390586,1861,104.0136529,30.64204591,257.6165547
71,25,104.0120406,30.64390586,812,104.0143642,30.64454912,233.7971718
72,25,104.0120406,30.64390586,1300,104.0114083,30.64760226,414.1344437
73,26,104.0860338,30.64221009,1079,104.0850152,30.64157585,120.2890328
74,26,104.0860338,30.64221009,1816,104.0863831,30.64181519,55.09816775
75,26,104.0860338,30.64221009,1798,104.0857848,30.64258043,47.47870099
76,26,104.0860338,30.64221009,1695,104.0875368,30.6431534,177.9770438
77,27,104.1747682,30.65471347,43,104.1749113,30.65114609,395.6032631
78,27,104.1747682,30.65471347,332,104.1831593,30.65487167,804.1917262
79,27,104.1747682,30.65471347,358,104.1571519,30.65730466,1712.154667
80,27,104.1747682,30.65471347,634,104.1748633,30.65937538,516.7491094
81,28,103.9776869,30.61166959,118,103.9721097,30.60924975,598.1445228
82,28,103.9776869,30.61166959,229,103.972055,30.62091828,1158.521852
83,29,104.064657,30.61877337,762,104.0600781,30.61857201,439.4701222
84,29,104.064657,30.61877337,1059,104.0646499,30.61653136,248.4815623
85,29,104.064657,30.61877337,456,104.0695764,30.61879884,471.5487556
86,29,104.064657,30.61877337,563,104.0645381,30.62255535,419.311019
87,30,104.0705271,30.5936291,654,104.0684365,30.59321293,205.6812406
88,30,104.0705271,30.5936291,483,104.0720858,30.59244763,198.6988912
89,30,104.0705271,30.5936291,1126,104.070717,30.59686374,358.9538853
90,31,104.1427297,30.60890084,63,104.1392625,30.60626466,442.5338513
91,31,104.1427297,30.60890084,336,104.1463549,30.60674406,421.783258
92,31,104.1427297,30.60890084,284,104.1369858,30.61186495,641.1616517
93,32,103.9354466,30.74137286,732,103.9313093,30.70607506,3932.226913
94,32,103.9354466,30.74137286,439,103.9540216,30.72742297,2356.527401
95,32,103.9354466,30.74137286,64,103.9412759,30.75449343,1557.607396
96,33,104.0422933,30.7410774,165,104.0400009,30.74081135,221.4271661
97,33,104.0422933,30.7410774,151,104.0434242,30.733702,824.5702416
98,33,104.0422933,30.7410774,81,104.0489107,30.74097516,633.6067313
99,33,104.0422933,30.7410774,193,104.042756,30.74664014,618.1188471
100,34,104.1146272,30.76027681,750,104.1054866,30.72778795,3705.554474
101,34,104.1146272,30.76027681,50,104.127086,30.77857558,2352.605615
102,35,104.1675722,30.75834783,67,104.190672,30.73707999,3231.919547
103,35,104.1675722,30.75834783,51,104.1374701,30.77433248,3382.064279
104,36,103.9945272,30.71275996,386,103.9917914,30.7107053,347.1260675
105,36,103.9945272,30.71275996,565,103.9980882,30.70975652,476.5458367
106,36,103.9945272,30.71275996,673,103.9922205,30.71446713,290.8539716
107,37,104.0557493,30.71706744,1211,104.0517543,30.71381514,525.6174909
108,37,104.0557493,30.71706744,907,104.0579489,30.71528136,289.0479444
109,37,104.0557493,30.71706744,802,104.0496414,30.7228819,870.2509514
110,38,104.0894112,30.69807885,594,104.0869352,30.69443168,468.6458284
111,38,104.0894112,30.69807885,314,104.1056755,30.69638434,1568.99986
112,38,104.0894112,30.69807885,824,104.0921312,30.70228545,534.061291
113,39,104.1766587,30.70212293,411,104.1692364,30.7015895,713.2862675
114,39,104.1766587,30.70212293,389,104.1769595,30.69629187,646.8891553
115,39,104.1766587,30.70212293,155,104.1857165,30.70246353,868.2777382
116,40,103.9895242,30.6706359,86,103.9894492,30.66832512,256.210622
117,40,103.9895242,30.6706359,142,103.9917117,30.6703629,211.7407755
118,40,103.9895242,30.6706359,832,103.9882345,30.67074127,124.1066729
119,41,104.0136726,30.6339832,798,104.0191596,30.62797015,848.9314547
120,41,104.0136726,30.6339832,952,104.0160584,30.63558542,289.5094766
121,41,104.0136726,30.6339832,1111,104.0122447,30.63565466,230.317022
122,42,104.110012,30.64971387,1876,104.1079039,30.64564358,494.2698699
123,42,104.110012,30.64971387,642,104.1133584,30.64805452,369.6500203
124,42,104.110012,30.64971387,1172,104.1061061,30.65160594,429.010321
125,42,104.110012,30.64971387,1726,104.1119814,30.653166,426.6043255
126,43,104.1749113,30.65114609,201,104.1720131,30.64867986,389.6542203
127,43,104.1749113,30.65114609,571,104.1827765,30.65238351,766.0010004
128,44,103.9967302,30.59844508,268,103.9910119,30.59474494,684.6502382
129,44,103.9967302,30.59844508,714,103.9997597,30.58962127,1020.176889
130,44,103.9967302,30.59844508,1251,103.9992457,30.60127686,395.8115907
131,44,103.9967302,30.59844508,146,103.9938473,30.60135673,424.8850094
132,45,104.0579082,30.60063219,738,104.0578933,30.59668669,437.27896
133,45,104.0579082,30.60063219,203,104.0612128,30.60054761,316.9564225
134,45,104.0579082,30.60063219,1045,104.0551975,30.60075578,260.2348094
135,45,104.0579082,30.60063219,1245,104.0578993,30.60270356,229.5704148
136,46,104.0737429,30.60663216,913,104.0716051,30.60650411,205.4299773
137,46,104.0737429,30.60663216,1025,104.0736856,30.60409951,280.7455374
138,46,104.0737429,30.60663216,1120,104.0749288,30.6065838,113.8159393
139,47,104.1450214,30.58450522,232,104.1409451,30.59204616,922.6154733
140,48,103.9564943,30.7450801,150,103.9650646,30.73928236,1042.151102
141,48,103.9564943,30.7450801,80,103.9613727,30.75254195,949.7687465
142,49,104.0507089,30.76141245,324,104.0479925,30.76138863,260.003546
143,50,104.127086,30.77857558,51,104.1374701,30.77433248,1099.377533
144,50,104.127086,30.77857558,66,104.0737873,30.78668402,5178.755161
145,52,103.9691811,30.72962272,664,103.9780511,30.71972036,1387.754926
146,52,103.9691811,30.72962272,448,103.9709046,30.73015438,175.2258277
147,53,104.0008574,30.72248966,299,103.9944727,30.71680117,878.2173475
148,53,104.0008574,30.72248966,222,104.0017918,30.72113711,174.577126
149,53,104.0008574,30.72248966,1417,103.9990459,30.72573991,399.819279
150,53,104.0008574,30.72248966,942,104.0068158,30.72585148,681.411241
151,54,104.115936,30.68478406,1110,104.1157328,30.68282827,217.6304248
152,54,104.115936,30.68478406,1242,104.1188763,30.68269678,364.468426
153,54,104.115936,30.68478406,880,104.1143105,30.68613383,215.9173046
154,55,104.153472,30.68495031,197,104.1595999,30.6846658,587.8169162
155,55,104.153472,30.68495031,169,104.1476634,30.68782026,640.8767311
156,56,103.9971186,30.64328713,860,103.9966501,30.64288317,63.4009281
157,56,103.9971186,30.64328713,896,104.0043112,30.63573997,1083.884355
158,56,103.9971186,30.64328713,1628,103.9995359,30.6447123,280.3753136
159,56,103.9971186,30.64328713,818,103.9898616,30.65121392,1120.459658
160,57,104.0442801,30.63824024,1371,104.0424412,30.63531088,369.4097262
161,57,104.0442801,30.63824024,1664,104.0450327,30.63930565,138.3653967
162,57,104.0442801,30.63824024,1472,104.0411563,30.63977679,344.4107303
163,58,104.0919899,30.64973175,1037,104.0909857,30.64806866,207.9239017
164,58,104.0919899,30.64973175,116,104.0894982,30.65024457,245.4249467
165,58,104.0919899,30.64973175,471,104.0934433,30.65227021,313.9204424
166,59,104.1731426,30.67412276,463,104.1604886,30.67205697,1233.652182
167,59,104.1731426,30.67412276,598,104.174737,30.66454521,1072.394654
168,59,104.1731426,30.67412276,306,104.2033612,30.67494723,2896.260247
169,60,103.9582174,30.57340291,255,103.966243,30.57342223,769.663418
170,61,104.0377793,30.62313997,189,104.040157,30.62176571,274.1133533
171,61,104.0377793,30.62313997,343,104.0353868,30.62436116,266.2771936
172,115,104.0377793,30.62313997,61,104.0388775,30.62491655,223.2688421
173,62,104.1041006,30.59388005,361,104.1072423,30.59430952,304.9521499
174,62,104.1041006,30.59388005,1039,104.1040346,30.59590093,224.0604964
175,63,104.1392625,30.60626466,763,104.1354405,30.60123549,667.0150371
176,63,104.1392625,30.60626466,297,104.1441733,30.60359371,556.1092987
177,63,104.1392625,30.60626466,672,104.1346143,30.60842985,506.0911374
178,64,103.9412759,30.75449343,108,103.9552436,30.7700213,2179.281715
179,65,104.0666187,30.74499537,311,104.0600238,30.74269338,680.9342629
180,66,104.0737873,30.78668402,137,104.0475071,30.78634412,2514.976447
181,67,104.190672,30.73707999,400,104.1722518,30.72037834,2556.670043
182,67,104.190672,30.73707999,250,104.200667,30.70612702,3561.461404
183,68,103.9731061,30.68598032,260,103.9706768,30.68583598,233.2483219
184,68,103.9731061,30.68598032,390,103.9733365,30.67656097,1044.207014
185,68,103.9731061,30.68598032,475,103.9769843,30.6953588,1103.828643
186,69,104.0104187,30.68940234,1409,104.0093726,30.68765838,217.7158719
187,69,104.0104187,30.68940234,1672,104.0155067,30.68723514,543.3340304
188,69,104.0104187,30.68940234,1627,104.0065398,30.69141036,433.0946594
189,69,104.0104187,30.68940234,991,104.0121158,30.69204887,335.3540978
190,70,104.1033786,30.70633756,1422,104.1015938,30.70628948,171.0052479
191,70,104.1033786,30.70633756,1418,104.1031337,30.70349434,315.986651
192,70,104.1033786,30.70633756,1378,104.1060918,30.7062197,260.1592847
193,71,104.1649449,30.68504344,197,104.1595999,30.6846658,513.6855656
194,71,104.1649449,30.68504344,276,104.1703327,30.68548169,518.3521345
195,71,104.1649449,30.68504344,422,104.1645632,30.69122648,686.2321224
196,72,103.998373,30.6369159,367,103.9977251,30.63671174,66.08638951
197,72,103.998373,30.6369159,1171,103.9992384,30.63572543,155.8463457
198,73,104.0135237,30.65990556,1395,104.0118326,30.65796024,269.7031656
199,73,104.0135237,30.65990556,1873,104.0163373,30.66013517,270.7760379
200,73,104.0135237,30.65990556,101,104.0139977,30.66431216,490.4980126
201,74,104.1179738,30.65793984,777,104.1121511,30.65500441,645.8292508
202,74,104.1179738,30.65793984,534,104.1203144,30.65880798,244.0320835
203,74,104.1179738,30.65793984,729,104.1164633,30.66075295,343.7264565
204,75,104.1426242,30.63145711,393,104.1417226,30.6285471,333.8853966
205,75,104.1426242,30.63145711,254,104.1462001,30.63025162,367.8425915
206,75,104.1426242,30.63145711,508,104.1377241,30.63284921,494.3112084
207,75,104.1426242,30.63145711,688,104.1445578,30.63469503,403.8793365
208,76,103.9487338,30.61070341,281,103.9604905,30.60401625,1348.923914
209,76,103.9487338,30.61070341,394,103.9642428,30.61742585,1662.937701
210,76,103.9487338,30.61070341,909,103.9425616,30.630378,2259.420999
211,77,104.0422154,30.60430027,1031,104.0400367,30.60236365,299.4921877
212,77,104.0422154,30.60430027,926,104.0434786,30.60525631,160.9066087
213,77,104.0422154,30.60430027,473,104.0410529,30.60553353,176.3622819
214,78,104.0701368,30.57443762,1066,104.065939,30.57440927,402.5694056
215,78,104.0701368,30.57443762,204,104.0696326,30.56814664,698.8963881
216,78,104.0701368,30.57443762,1267,104.0765396,30.56871008,883.1558153
217,78,104.0701368,30.57443762,739,104.0723172,30.57817949,464.4351601
218,79,104.1645673,30.60893296,323,104.1589946,30.60397265,766.5512676
219,79,104.1645673,30.60893296,135,104.165091,30.61782895,987.1946311
220,80,103.9613727,30.75254195,122,103.9719399,30.74616094,1234.279989
221,81,104.0489107,30.74097516,95,104.0492907,30.73539337,619.7093779
222,81,104.0489107,30.74097516,311,104.0600238,30.74269338,1080.785337
223,81,104.0489107,30.74097516,207,104.0490336,30.74739145,711.2274612
224,82,103.979059,30.71243403,655,103.9802912,30.71025208,269.0872958
225,82,103.979059,30.71243403,493,103.9810702,30.71328192,214.3025008
226,83,104.0467513,30.72074964,1486,104.0429071,30.71895045,418.6414886
227,83,104.0467513,30.72074964,1447,104.0486006,30.71633647,520.1873761
228,1441,104.0460135,30.72269194,83,104.0467513,30.72074964,226.564955
229,83,104.0467513,30.72074964,802,104.0496414,30.7228819,363.9071631
230,84,104.0946566,30.68181985,1406,104.0925699,30.67906708,364.7385995
231,84,104.0946566,30.68181985,1020,104.0927207,30.68269427,209.2367022
232,84,104.0946566,30.68181985,1200,104.0968239,30.68454342,366.3525489
233,85,104.1583536,30.69959817,169,104.1476634,30.68782026,1658.984337
234,85,104.1583536,30.69959817,211,104.158776,30.69530501,477.5222472
235,85,104.1583536,30.69959817,328,104.1612313,30.70292569,460.3875534
236,85,104.1583536,30.69959817,315,104.1454657,30.71104408,1769.885404
237,86,103.9894492,30.66832512,355,103.9894097,30.66622431,232.8683491
238,86,103.9894492,30.66832512,972,103.991266,30.66818088,174.7956832
239,86,103.9894492,30.66832512,212,103.9848234,30.66853964,443.8111945
240,87,104.0184715,30.63982391,1761,104.0167328,30.63860797,214.3053235
241,87,104.0184715,30.63982391,1189,104.0196137,30.63832934,198.5438166
242,87,104.0184715,30.63982391,569,104.0195149,30.64076755,144.6887032
243,88,104.0997464,30.62619552,1452,104.095579,30.62458258,437.604509
244,88,104.0997464,30.62619552,403,104.1012867,30.62466428,224.9325864
245,88,104.0997464,30.62619552,1844,104.1007334,30.62658897,104.1724733
246,88,104.0997464,30.62619552,1002,104.0995887,30.62730653,124.055725
247,89,104.1485968,30.65835293,499,104.1480248,30.65670291,190.9052235
248,89,104.1485968,30.65835293,526,104.1458357,30.65918716,280.2382615
249,90,103.9851381,30.61499377,320,103.9872194,30.61048908,537.6519444
250,90,103.9851381,30.61499377,307,103.9828708,30.62025518,622.3122248
251,91,104.0292501,30.58423404,877,104.0283682,30.5816609,297.4542591
252,91,104.0292501,30.58423404,282,104.0317101,30.58346893,250.6598557
253,91,104.0292501,30.58423404,1179,104.0258455,30.58528944,346.78701
254,91,104.0292501,30.58423404,509,104.0301944,30.58666704,284.4441927
255,92,104.0925349,30.60819686,663,104.0925346,30.60710553,120.950215
256,92,104.0925349,30.60819686,270,104.0957775,30.60819498,310.8469857
257,92,104.0925349,30.60819686,573,104.0836116,30.6089152,859.1051817
258,92,104.0925349,30.60819686,1210,104.0910757,30.61650609,931.4646503
259,93,104.1494061,30.60476611,219,104.1430664,30.59666843,1083.881004
260,93,104.1494061,30.60476611,258,104.1559375,30.60084119,762.4217694
261,93,104.1494061,30.60476611,336,104.1463549,30.60674406,365.5265608
262,93,104.1494061,30.60476611,310,104.1526212,30.6089618,557.8703401
263,94,103.9772319,30.75266673,122,103.9719399,30.74616094,881.2258787
264,94,103.9772319,30.75266673,206,103.9925196,30.73704047,2267.452804
265,94,103.9772319,30.75266673,164,103.9721281,30.75869493,827.6900126
266,94,103.9772319,30.75266673,136,103.9946657,30.76457468,2127.548928
267,95,104.0492907,30.73539337,1019,104.0494214,30.73264506,304.8576438
268,95,104.0492907,30.73539337,272,104.0557475,30.73512754,618.8615534
269,95,104.0492907,30.73539337,151,104.0434242,30.733702,592.1145424
270,96,103.9579823,30.70105758,180,103.9578968,30.69981301,138.1830066
271,96,103.9579823,30.70105758,740,103.9600779,30.70097319,200.9250985
272,97,104.0016803,30.67972348,1607,104.0001306,30.67735769,301.3132414
273,97,104.0016803,30.67972348,1012,104.0041934,30.67864559,268.7515305
274,97,104.0016803,30.67972348,1477,103.9994992,30.68075283,238.0516
275,97,104.0016803,30.67972348,1377,104.0032686,30.68195435,290.3158797
276,98,104.1011692,30.69006594,275,104.099622,30.68819597,254.7836353
277,98,104.1011692,30.69006594,1236,104.1032213,30.68891742,234.1682854
278,98,104.1011692,30.69006594,922,104.1032345,30.69290878,372.02162
279,99,104.1409475,30.68134439,426,104.1375902,30.67794134,495.6572492
280,99,104.1409475,30.68134439,210,104.1353846,30.6850185,670.6359917
281,99,104.1409475,30.68134439,169,104.1476634,30.68782026,963.8123125
282,100,103.9911436,30.62966155,1042,103.987755,30.62805485,370.3952835
283,100,103.9911436,30.62966155,412,103.9926702,30.62703779,325.53111
284,100,103.9911436,30.62966155,401,103.9932544,30.63065031,230.078411
285,101,104.0139977,30.66431216,1535,104.0055646,30.66356549,812.2037884
286,101,104.0139977,30.66431216,1799,104.014074,30.66498919,75.3913012
287,102,104.0742198,30.62620311,997,104.0743822,30.6227454,383.5315126
288,102,104.0742198,30.62620311,761,104.0776053,30.62618671,324.4906359
289,102,104.0742198,30.62620311,552,104.074146,30.62766337,161.9954584
290,103,104.1831282,30.66441799,332,104.1831593,30.65487167,1058.0009
291,103,104.1831282,30.66441799,598,104.174737,30.66454521,804.0456248
292,104,103.9922157,30.61292033,320,103.9872194,30.61048908,549.5478994
293,104,103.9922157,30.61292033,405,103.9983609,30.6065462,919.8431229
294,104,103.9922157,30.61292033,333,103.9855772,30.62085604,1085.589741
295,105,104.0186689,30.5856335,821,104.0158469,30.58332268,372.5739333
296,105,104.0186689,30.5856335,714,103.9997597,30.58962127,1866.193322
297,105,104.0186689,30.5856335,545,104.0313763,30.59554599,1640.565362
298,106,104.0708672,30.61744157,1192,104.0707151,30.61665206,88.70577189
299,106,104.0708672,30.61744157,1095,104.0715609,30.61755497,67.67788705
300,107,104.1400423,30.59261383,232,104.1409451,30.59204616,107.0088861
301,107,104.1400423,30.59261383,1216,104.1360359,30.59511501,473.6901755
302,107,104.1400423,30.59261383,219,104.1430664,30.59666843,534.7818544
303,108,103.9552436,30.7700213,178,103.9619529,30.76609451,775.7273466
304,108,103.9552436,30.7700213,192,103.9849489,30.78236038,3154.6432
305,109,104.0454649,30.75117149,193,104.042756,30.74664014,565.2138329
306,109,104.0454649,30.75117149,207,104.0490336,30.74739145,540.5774824
307,109,104.0454649,30.75117149,220,104.0481228,30.7539247,397.2930404
308,110,103.9945152,30.68621014,708,103.9929798,30.68390412,294.8788977
309,110,103.9945152,30.68621014,124,103.9980009,30.68452005,382.8435085
310,110,103.9945152,30.68621014,338,103.9906099,30.68806191,426.6868549
311,110,103.9945152,30.68621014,1298,103.9988879,30.69473327,1033.325213
312,111,104.0217392,30.67914647,1869,104.0192811,30.67648682,377.2787873
313,111,104.0217392,30.67914647,733,104.022412,30.67849209,97.02682425
314,111,104.0217392,30.67914647,1096,104.0229629,30.68025139,169.5263733
315,112,104.0980229,30.71968669,1279,104.0964555,30.71894934,170.884252
316,112,104.0980229,30.71968669,726,104.1018715,30.7188824,379.1506685
317,112,104.0980229,30.71968669,1334,104.0982053,30.7212584,175.0677146
318,113,104.1692351,30.70602859,411,104.1692364,30.7015895,491.9788734
319,113,104.1692351,30.70602859,224,104.1636044,30.70562279,541.0916099
320,114,103.9834118,30.64102237,775,103.9784668,30.63921045,514.6940253
321,114,103.9834118,30.64102237,719,103.9845026,30.63716601,440.0064418
322,114,103.9834118,30.64102237,640,103.9863516,30.64206014,304.3038699
323,114,103.9834118,30.64102237,694,103.9819807,30.64440871,399.5874423
324,199,104.041432,30.62375282,115,104.0388775,30.62491655,276.7374659
325,116,104.0894982,30.65024457,1202,104.0888813,30.64903065,146.9511223
326,116,104.0894982,30.65024457,1611,104.0898351,30.6510373,93.60051923
327,117,104.1371922,30.63929681,1016,104.123009,30.63877907,1360.418285
328,117,104.1371922,30.63929681,1106,104.1364419,30.63755553,205.9431244
329,117,104.1371922,30.63929681,472,104.1412091,30.63877966,389.1891435
330,117,104.1371922,30.63929681,293,104.1369623,30.6514217,1343.962194
331,118,103.9721097,30.60924975,188,103.9698331,30.60822849,245.8542348
332,118,103.9721097,30.60924975,371,103.9718535,30.60676545,276.4329203
333,118,103.9721097,30.60924975,174,103.9663699,30.61838763,1152.580029
334,762,104.0600781,30.61857201,119,104.0598999,30.62248789,434.3321001
335,119,104.0598999,30.62248789,563,104.0645381,30.62255535,444.6381518
336,119,104.0598999,30.62248789,905,104.0549769,30.62263487,472.1494252
337,119,104.0598999,30.62248789,587,104.0599492,30.6251091,290.5469425
338,120,104.0758544,30.58360116,739,104.0723172,30.57817949,689.9948448
339,120,104.0758544,30.58360116,1074,104.0750659,30.59133644,860.6192695
340,121,104.1526008,30.59079768,177,104.1497085,30.58671198,530.9788349
341,121,104.1526008,30.59079768,219,104.1430664,30.59666843,1122.026642
342,121,104.1526008,30.59079768,258,104.1559375,30.60084119,1158.153395
343,122,103.9719399,30.74616094,150,103.9650646,30.73928236,1007.20024
344,123,104.0354305,30.74630622,165,104.0400009,30.74081135,749.885223
345,123,104.0354305,30.74630622,193,104.042756,30.74664014,702.2276992
346,123,104.0354305,30.74630622,337,104.0257262,30.75797789,1592.572846
347,124,103.9980009,30.68452005,637,103.9964967,30.68224322,290.5871016
348,124,103.9980009,30.68452005,1241,104.0008267,30.68310339,312.9263622
349,124,103.9980009,30.68452005,886,103.9991279,30.68644492,239.0985736
350,125,104.0229801,30.69537616,584,104.020265,30.6931301,359.9913936
351,125,104.0229801,30.69537616,1229,104.027045,30.69251558,502.0930578
352,125,104.0229801,30.69537616,1385,104.0250491,30.69704864,271.3491026
353,125,104.0229801,30.69537616,376,104.0213322,30.69724433,260.3460928
354,126,104.0853272,30.68633229,399,104.0835475,30.68354394,352.9318802
355,126,104.0853272,30.68633229,852,104.0882401,30.6850032,315.5116221
356,126,104.0853272,30.68633229,1362,104.0825614,30.68754155,296.8924869
357,126,104.0853272,30.68633229,758,104.0875661,30.68960162,421.0464061
358,127,104.1462028,30.72511547,1299,104.1329977,30.71471837,1710.720489
359,127,104.1462028,30.72511547,315,104.1454657,30.71104408,1561.121132
360,128,103.9975143,30.66374322,1028,103.9950403,30.66375076,237.0402654
361,128,103.9975143,30.66374322,252,103.9994246,30.6637374,183.0300287
362,128,103.9975143,30.66374322,586,103.9975617,30.66511082,151.6410718
363,129,104.0192612,30.66338368,744,104.0194321,30.65955788,424.3351096
364,129,104.0192612,30.66338368,1260,104.0215958,30.66356652,224.5953135
365,129,104.0192612,30.66338368,443,104.0192041,30.66475911,152.5390573
366,130,104.0797902,30.66062591,1629,104.078706,30.65916798,192.0974179
367,130,104.0797902,30.66062591,1812,104.0821018,30.65950096,254.1594452
368,1760,104.0782286,30.66139729,130,104.0797902,30.66062591,172.3249935
369,130,104.0797902,30.66062591,1281,104.0814139,30.66323476,328.3305018
370,131,104.158009,30.63265017,562,104.1567215,30.62997401,321.2386193
371,131,104.158009,30.63265017,589,104.1665373,30.62856108,934.5742395
372,131,104.158009,30.63265017,535,104.1523394,30.63505025,604.9681706
373,132,103.9896589,30.62215352,333,103.9855772,30.62085604,416.8350472
374,132,103.9896589,30.62215352,703,103.9943014,30.62444502,512.3599603
375,132,103.9896589,30.62215352,658,103.9880426,30.62480647,332.3477681
376,133,104.0520549,30.57791347,1155,104.0479108,30.57775318,397.789706
377,133,104.0520549,30.57791347,518,104.0573648,30.57797339,509.2293938
378,133,104.0520549,30.57791347,1087,104.0521039,30.58111487,354.8405378
379,134,104.0783955,30.61080386,771,104.0773184,30.60357397,807.9075937
380,134,104.0783955,30.61080386,573,104.0836116,30.6089152,542.0671848
381,134,104.0783955,30.61080386,618,104.0748969,30.6108969,335.5366158
382,134,104.0783955,30.61080386,969,104.0790641,30.61458745,424.2016114
383,135,104.165091,30.61782895,245,104.1414436,30.6184338,2267.648197
384,135,104.165091,30.61782895,589,104.1665373,30.62856108,1197.465221
385,136,103.9946657,30.76457468,259,104.0067642,30.74617568,2345.110412
386,136,103.9946657,30.76457468,285,104.0154355,30.77055541,2095.434059
